userId,movieId,rating,timestamp,title
0,2852,2.5,1260759144,Dangerous Minds
0,1360,3.0,1260759182,Sleepers
0,1374,2.0,1260759185,Escape from New York
0,1545,3.0,1260759117,Blazing Saddles
0,2816,1.0,1260759200,Time Bandits
0,982,2.5,1260759113,The Fly (1986)
0,781,2.0,1260759108,Antz
0,1860,2.0,1260759198,Willow
0,1086,2.0,1260759151,The Deer Hunter
0,2842,3.0,1260759194,The Gods Must Be Crazy
0,1990,4.0,1260759191,The French Connection
0,3467,1.0,1260759203,Beavis and Butt-Head Do America
0,1706,2.5,1260759135,Star Trek: The Motion Picture
0,1413,2.0,1260759131,Cape Fear
0,937,3.5,1260759125,Dracula
0,1357,2.0,1260759148,Gandhi
0,1474,2.0,1260759187,Ben-Hur
0,1378,4.0,1260759139,Tron
0,851,3.0,1260759179,Dumbo
0,1230,4.0,1260759205,Cinema Paradiso
1,1722,2.0,835355932,The Naked Gun 33⅓: The Final Insult
1,5212,3.0,835355767,The Madness of King George
1,2720,4.0,835355779,Mary Shelley's Frankenstein
1,1756,3.0,835355492,Outbreak
1,17,4.0,835355395,Pulp Fiction
1,2768,3.0,835355532,Quiz Show
1,7775,4.0,835356044,The Secret of Roan Inish
1,1817,2.0,835355551,The Santa Clause
1,2864,1.0,835355918,Shallow Grave
1,2372,3.0,835355492,While You Were Sleeping
1,2154,4.0,835355441,Clear and Present Danger
1,1518,5.0,835355586,Legends of the Fall
1,2640,4.0,835355697,The Client
1,1485,3.0,835355749,Four Weddings and a Funeral
1,78,3.0,835355604,The Lion King
1,343,3.0,835355619,The Mask
1,6175,3.0,835355968,The Paper
1,3358,3.0,835356094,Reality Bites
1,529,3.0,835355710,Speed
1,3044,3.0,835356165,Wolf
1,4266,2.0,835356246,Highlander: The Final Dimension
1,1716,3.0,835355532,Addams Family Values
1,1781,4.0,835355604,The Firm
1,21,3.0,835355628,Forrest Gump
1,829,3.0,835355511,The Fugitive
1,5150,5.0,835355697,Like Water for Chocolate
1,643,4.0,835355511,Interview with the Vampire
